Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8975046873092651,1.9970828294754028,7.2995524406433105,1.0555567741394043,77.88815307617188,182.55601501464844,1.1332226991653442,1125.7109375,76.52099609375,182.20362854003906,1.145141363143921,38209.4921875,75.47311401367188,181.2871551513672,1.1521867513656616,656.7173461914062,1.7212802171707153,2.6389472484588623,0.8755627870559692,1.6786624193191528,1528976.3038238247
500,1.9456150531768799,1.9992187023162842,7.964263439178467,1.028354287147522,78.52013397216797,182.15533447265625,1.1297197341918945,7492.61083984375,76.2490463256836,181.87403869628906,1.1155232191085815,1274.6654052734375,61.602603912353516,168.4185028076172,1.0789453983306885,1880.2725830078125,1.0272109508514404,1.1371785402297974,0.6468374133110046,24.152048110961914,1120752.014186238
1000,1.936303973197937,1.9989179372787476,8.199732780456543,1.0334548950195312,78.1076431274414,181.23556518554688,1.1355934143066406,10138.94921875,75.3606948852539,181.26702880859375,1.1045745611190796,1079.9527587890625,59.9200325012207,164.53961181640625,1.0843311548233032,2647.8359375,1.0314778089523315,1.1586540937423706,0.7806727886199951,16.81584358215332,1393055.9581896411
1500,1.9321694374084473,1.9987677335739136,8.405332565307617,1.035744309425354,77.82482147216797,180.23260498046875,1.1454535722732544,487.6890563964844,74.11088562011719,180.3247528076172,1.1018900871276855,1347.8460693359375,55.98036193847656,160.6403350830078,1.1296639442443848,736.4297485351562,1.033328890800476,1.169277310371399,0.8753505945205688,13.926458358764648,1678502.334640769
2000,1.928303837776184,1.9986176490783691,8.600700378417969,1.0378986597061157,77.0053939819336,179.13589477539062,1.1656683683395386,330.5244140625,72.93128967285156,179.244140625,1.1112021207809448,416.3924560546875,53.23114776611328,157.8258819580078,1.1859614849090576,5024.73291015625,1.0311390161514282,1.162266492843628,0.9861091375350952,12.802260398864746,2084574.6042785214
2500,1.9174576997756958,1.9981472492218018,8.817188262939453,1.044015645980835,74.94718933105469,177.8431396484375,1.2047683000564575,1042.8829345703125,70.35018920898438,177.42379760742188,1.1378004550933838,1739.102294921875,51.490413665771484,154.19741821289062,1.2389870882034302,52709.8203125,1.0267255306243896,1.1434935331344604,1.071670413017273,13.300970077514648,2567720.525654954
3000,1.9135597944259644,1.997959852218628,8.961913108825684,1.0462404489517212,71.47066497802734,176.2645721435547,1.264233946800232,1166.4205322265625,68.74710083007812,175.70106506347656,1.1628029346466064,1414.1953125,50.99345397949219,150.75328063964844,1.2881717681884766,4250.654296875,1.0260869264602661,1.1411879062652588,1.1199082136154175,12.997843742370605,3040958.441778965
3500,1.9031003713607788,1.9974080324172974,9.1385498046875,1.0522816181182861,61.695716857910156,173.5963897705078,1.395185112953186,607.3468017578125,67.30050659179688,173.77420043945312,1.1894655227661133,1719.87109375,50.44194030761719,147.338134765625,1.3485990762710571,1148.7537841796875,1.024361252784729,1.133821725845337,1.19633150100708,13.003664016723633,3914852.050472448
4000,1.8970253467559814,1.9970542192459106,9.246760368347168,1.055838704109192,56.86941146850586,171.7978515625,1.4817222356796265,728.6290893554688,66.59809112548828,172.81451416015625,1.2265167236328125,1253.87158203125,47.277469635009766,149.9579620361328,1.46320641040802,1154.431640625,1.0167608261108398,1.0975607633590698,1.4380455017089844,15.79569149017334,5657545.835253633
4500,1.898181438446045,1.9971234798431396,9.2477388381958,1.0551592111587524,54.715087890625,171.09918212890625,1.5241730213165283,37342.85546875,65.095458984375,172.33082580566406,1.2600177526474,2786.808837890625,44.58379364013672,152.75498962402344,1.6148258447647095,994.0449829101562,1.011095404624939,1.0686832666397095,1.7468401193618774,19.53606605529785,8015771.3891378855
4999,1.8984111547470093,1.9971370697021484,9.245122909545898,1.0550241470336914,53.942874908447266,170.85043334960938,1.538564682006836,33379.94140625,65.09208679199219,172.22927856445312,1.2670918703079224,838.9307250976562,45.67159652709961,152.6457061767578,1.6847676038742065,3836.54736328125,1.009984016418457,1.0627120733261108,1.9387613534927368,20.796247482299805,9419349.085523374
